name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
Buda Jeans Co Pack of 2 Men Regular Fit Collar-Neck T-Shirt,Buda Jeans Co,Clothing,585,585,55,4,251,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20P,https://www.ajio.com/buda-jeans-co-pack-of-2-men-regular-fit-collar-neck-t-shirt/p/702909826_black?,ajio
NETPLAY Men Striped Slim Fit Polo T-Shirt,NETPLAY,Clothing,599,599,0,4,32,https://dummyjson.com/image/400x400/282828/ffffff?text=NETPLAY%20Men%20Str,https://www.ajio.com/netplay-men-striped-slim-fit-polo-t-shirt/p/443116330_green?,ajio
TOGS & TERRE Men Typographic Loose Fit T-Shirt,TOGS & TERRE,Clothing,285,285,81,4.5,309,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Me,https://www.ajio.com/togs--terre-men-typographic-loose-fit-t-shirt-----/p/701806040_green?,ajio
DNMX Men Graphic Print Relaxed Fit Crew-Neck T-Shirt,DNMX,Clothing,120,120,70,4.5,83,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Graphi,https://www.ajio.com/dnmx-men-graphic-print-relaxed-fit-crew-neck-t-shirt/p/443091708_pink?,ajio
NETPLAY Men Geometric Print Slim Fit Polo T-Shirt,NETPLAY,Clothing,210,210,70,4,43,https://dummyjson.com/image/400x400/282828/ffffff?text=NETPLAY%20Men%20Geo,https://www.ajio.com/netplay-men-geometric-print-slim-fit-polo-t-shirt/p/443118837_olive?,ajio
MANIAC Self-Design Oversized Fit T-shirt,MANIAC,Clothing,392,392,75,4.5,118,https://dummyjson.com/image/400x400/282828/ffffff?text=MANIAC%20Self-Des,https://www.ajio.com/maniac-self-design-oversized-fit-t-shirt/p/702721745_grey?,ajio
Lee Cooper Men Graphic Print Regular Fit Crew-Neck T-Shirt,Lee Cooper,Clothing,340,340,66,4.5,361,https://dummyjson.com/image/400x400/282828/ffffff?text=Lee%20Cooper%20Men%20,https://www.ajio.com/lee-cooper-men-graphic-print-regular-fit-crew-neck-t-shirt/p/443070163_black?,ajio
Jack & Jones Men Typographic Print Slim Fit Crew-Neck T-Shirt,Jack & Jones,Clothing,674,674,25,5,292,https://dummyjson.com/image/400x400/282828/ffffff?text=Jack%20%26%20Jones%20Me,https://www.ajio.com/jack--jones-men-typographic-print-slim-fit-crew-neck-t-shirt/p/466707276_black?,ajio
Buda Jeans Co Men Graphic Regular Fit T-shirt,Buda Jeans Co,Clothing,310,310,69,5,125,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-graphic-regular-fit-t-shirt/p/702768482_white?,ajio
Buda Jeans Co Men Striped Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,360,360,80,4,375,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-striped-regular-fit-polo-t-shirt/p/702480605_navy?,ajio
